gsm	title	source name	organism
GSM2647295	orgR_TX_m_r3	thorax without digestive system	Drosophila melanogaster
GSM2647296	orgR_WB_f_r1	whole body	Drosophila melanogaster
GSM2647297	orgR_WB_f_r2	whole body	Drosophila melanogaster
GSM2647298	orgR_WB_f_r3	whole body	Drosophila melanogaster
GSM2647299	orgR_WB_m_r1	whole body	Drosophila melanogaster
GSM2647300	orgR_WB_m_r2	whole body	Drosophila melanogaster
GSM2647301	orgR_WB_m_r3	whole body	Drosophila melanogaster
GSM2647302	w1118_AC_f_r1	abdomen without digestive or reproductive system	Drosophila melanogaster
GSM2647303	w1118_AC_f_r2	abdomen without digestive or reproductive system	Drosophila melanogaster
GSM2647304	w1118_AC_f_r3	abdomen without digestive or reproductive system	Drosophila melanogaster
GSM2647305	w1118_AC_m_r1	abdomen without digestive or reproductive system	Drosophila melanogaster
GSM2647306	w1118_AC_m_r2	abdomen without digestive or reproductive system	Drosophila melanogaster
GSM2647307	w1118_AC_m_r3	abdomen without digestive or reproductive system	Drosophila melanogaster
GSM2647308	w1118_DG_f_r1	digestive plus excretory system	Drosophila melanogaster
GSM2647309	w1118_DG_f_r2	digestive plus excretory system	Drosophila melanogaster
GSM2647310	w1118_DG_f_r3	digestive plus excretory system	Drosophila melanogaster
GSM2647311	w1118_DG_m_r1	digestive plus excretory system	Drosophila melanogaster
GSM2647312	w1118_DG_m_r2	digestive plus excretory system	Drosophila melanogaster
GSM2647313	w1118_DG_m_r3	digestive plus excretory system	Drosophila melanogaster
GSM2647314	w1118_GE_f_r1	genitalia	Drosophila melanogaster
GSM2647315	w1118_GE_f_r2	genitalia	Drosophila melanogaster
GSM2647316	w1118_GE_f_r3	genitalia	Drosophila melanogaster
GSM2647317	w1118_GE_m_r1	genitalia	Drosophila melanogaster
GSM2647318	w1118_GE_m_r2	genitalia	Drosophila melanogaster
GSM2647319	w1118_GE_m_r3	genitalia	Drosophila melanogaster
GSM2647320	w1118_GO_f_r1	gonad	Drosophila melanogaster
GSM2647321	w1118_GO_f_r2	gonad	Drosophila melanogaster
GSM2647322	w1118_GO_f_r3	gonad	Drosophila melanogaster
GSM2647323	w1118_GO_m_r1	gonad	Drosophila melanogaster
GSM2647324	w1118_GO_m_r2	gonad	Drosophila melanogaster
GSM2647325	w1118_GO_m_r3	gonad	Drosophila melanogaster
GSM2647326	w1118_HD_f_r1	head	Drosophila melanogaster
GSM2647327	w1118_HD_f_r2	head	Drosophila melanogaster
GSM2647328	w1118_HD_f_r3	head	Drosophila melanogaster
GSM2647329	w1118_HD_m_r1	head	Drosophila melanogaster
GSM2647330	w1118_HD_m_r2	head	Drosophila melanogaster
GSM2647331	w1118_HD_m_r3	head	Drosophila melanogaster
